,start time (sec),end time (sec),start time (min),end time (min),speaker
0,0.0,15.7100,00:00:00,00:15:71,9
1,19.66,31.5400,00:19:66,00:31:53,9
2,31.54,34.4200,00:31:53,00:34:42,8
3,34.42,39.7000,00:34:42,00:39:70,9
4,39.7,40.7000,00:39:70,00:40:70,5
5,40.79,59.3900,00:40:78,00:59:39,9
6,59.39,60.7400,00:59:39,01:00:74,5
7,61.1,64.1700,01:01:10,01:04:17,5
8,64.28,65.4000,01:04:28,01:05:40,5
9,65.9,69.2600,01:05:90,01:09:26,5
10,69.7,73.6600,01:09:70,01:13:65,9
11,73.66,74.4200,01:13:65,01:14:42,8
12,75.89,77.0600,01:15:89,01:17:06,8
13,77.58,79.8300,01:17:57,01:19:82,8
14,80.12,84.0200,01:20:12,01:24:02,8
15,84.31,85.1500,01:24:31,01:25:15,8
16,85.15,90.0600,01:25:15,01:30:06,4
17,90.86,93.4400,01:30:85,01:33:43,4
18,93.66,102.6600,01:33:65,01:42:65,9
19,102.66,108.6600,01:42:65,01:48:65,6
20,108.66,114.9000,01:48:65,01:54:89,9
21,114.9,117.0900,01:54:90,01:57:09,2
22,117.23,119.6700,01:57:23,01:59:67,2
23,119.82,121.2400,01:59:81,02:01:23,2
24,121.52,122.7100,02:01:51,02:02:70,2
25,122.72,126.3200,02:02:71,02:06:31,2
26,126.4,129.0300,02:06:40,02:09:03,2
27,129.08,149.9300,02:09:08,02:29:93,9
28,150.02,166.4600,02:30:02,02:46:46,9
29,166.46,173.6600,02:46:46,02:53:65,1
30,173.66,185.3200,02:53:65,03:05:31,9
31,185.39,200.8100,03:05:38,03:20:80,9
32,201.3,212.2200,03:21:30,03:32:21,9
33,212.31,221.5500,03:32:31,03:41:55,9
34,221.55,249.0400,03:41:55,04:09:04,3
35,249.3,259.7400,04:09:30,04:19:74,9
36,259.74,329.2300,04:19:74,05:29:23,3
37,329.28,335.6500,05:29:27,05:35:64,9
38,336.1,395.7400,05:36:10,06:35:74,3
39,395.74,408.4600,06:35:74,06:48:46,9
40,408.46,465.1600,06:48:45,07:45:15,3
41,465.4,468.9300,07:45:39,07:48:92,9
