,start time (sec),end time (sec),start time (min),end time (min),speaker
0,0.0,1.0800,00:00:00,00:01:08,0
1,1.08,2.2800,00:01:08,00:02:28,1
2,2.28,20.7600,00:02:27,00:20:76,0
3,20.76,22.2000,00:20:76,00:22:20,2
4,22.2,32.7600,00:22:19,00:32:75,0
5,32.76,34.3700,00:32:75,00:34:36,3
6,34.94,42.7400,00:34:93,00:42:73,0
7,42.74,43.9400,00:42:74,00:43:94,4
8,43.94,44.9000,00:43:93,00:44:89,0
9,44.9,46.1000,00:44:89,00:46:10,5
10,46.1,47.3000,00:46:10,00:47:30,0
11,47.3,48.7400,00:47:29,00:48:73,6
12,48.74,50.1800,00:48:74,00:50:17,7
13,50.18,50.6600,00:50:17,00:50:65,0
14,50.66,52.1000,00:50:65,00:52:09,8
15,52.1,54.5000,00:52:10,00:54:50,0
16,54.5,56.6600,00:54:50,00:56:65,9
17,56.66,59.7800,00:56:65,00:59:77,0
18,59.78,60.9800,00:59:78,01:00:98,10
19,60.98,62.1800,01:00:97,01:02:17,11
20,62.18,66.5000,01:02:17,01:06:50,0
21,66.5,67.7000,01:06:50,01:07:70,12
22,67.7,69.8600,01:07:70,01:09:85,0
23,69.86,71.0600,01:09:85,01:11:06,13
24,71.06,77.5400,01:11:06,01:17:54,0
25,77.54,79.7000,01:17:54,01:19:70,14
26,79.7,87.3800,01:19:70,01:27:37,0
27,87.38,89.0600,01:27:37,01:29:06,15
28,89.06,89.7800,01:29:06,01:29:78,0
29,89.78,91.4600,01:29:78,01:31:46,16
30,91.46,102.0200,01:31:45,01:42:01,0
31,102.02,103.4600,01:42:01,01:43:45,17
32,103.46,111.3800,01:43:45,01:51:37,0
33,111.38,112.5800,01:51:37,01:52:57,18
34,112.58,119.3500,01:52:57,01:59:34,0
35,119.43,121.9500,01:59:43,02:01:95,19
36,121.95,133.7100,02:01:95,02:13:71,0
37,133.71,135.1500,02:13:71,02:15:15,20
38,135.15,147.3900,02:15:15,02:27:39,0
39,147.39,148.5900,02:27:38,02:28:58,21
40,148.59,151.4700,02:28:59,02:31:46,0
41,151.47,152.6700,02:31:46,02:32:66,22
42,152.67,155.3100,02:32:66,02:35:30,0
43,155.31,156.5100,02:35:31,02:36:50,23
44,156.51,157.7100,02:36:50,02:37:70,24
45,157.71,212.6700,02:37:71,03:32:67,0
46,212.67,214.3500,03:32:66,03:34:34,25
47,214.35,227.3100,03:34:34,03:47:31,0
48,227.31,228.7500,03:47:31,03:48:75,26
49,228.75,237.7500,03:48:75,03:57:75,0
