,start time (sec),end time (sec),start time (min),end time (min),speaker
0,0.0,3.7900,00:00:00,00:03:79,12
1,3.87,37.2500,00:03:87,00:37:25,12
2,37.3,37.4300,00:37:29,00:37:42,12
3,37.5,38.3600,00:37:50,00:38:35,12
4,39.72,48.9500,00:39:71,00:48:95,1
5,49.02,49.9000,00:49:02,00:49:90,1
6,50.1,58.9600,00:50:10,00:58:96,1
7,59.29,60.2200,00:59:28,01:00:21,1
8,60.32,61.8800,01:00:32,01:01:88,1
9,61.91,62.0500,01:01:90,01:02:04,1
10,62.19,69.7700,01:02:18,01:09:76,1
11,70.07,78.3200,01:10:06,01:18:31,1
12,78.87,80.1300,01:18:87,01:20:13,1
13,80.99,88.7800,01:20:98,01:28:78,1
14,89.06,89.9500,01:29:06,01:29:95,1
15,93.0,95.1200,01:33:00,01:35:12,1
16,95.19,97.4600,01:35:18,01:37:45,1
17,97.57,98.4600,01:37:56,01:38:45,1
18,98.78,104.3700,01:38:78,01:44:37,1
19,104.55,106.3800,01:44:54,01:46:37,1
20,106.97,108.3600,01:46:96,01:48:35,1
21,109.67,128.2700,01:49:67,02:08:27,10
22,128.27,173.1500,02:08:27,02:53:15,22
23,173.15,176.7500,02:53:15,02:56:75,10
24,176.75,178.4300,02:56:75,02:58:43,22
25,178.43,181.8400,02:58:43,03:01:84,10
26,181.94,185.6600,03:01:93,03:05:65,10
27,185.66,190.2200,03:05:65,03:10:21,22
28,190.22,191.1800,03:10:21,03:11:18,10
29,191.18,218.1100,03:11:18,03:38:11,22
30,219.62,231.5100,03:39:62,03:51:50,12
31,232.24,233.8600,03:52:24,03:53:86,12
32,234.07,239.9500,03:54:06,03:59:94,10
33,239.95,241.6300,03:59:94,04:01:62,12
34,241.63,346.5700,04:01:62,05:46:56,10
35,347.0,368.7200,05:47:00,06:08:72,12
36,368.72,379.3800,06:08:72,06:19:38,17
37,379.47,392.0700,06:19:47,06:32:07,17
38,392.07,393.2700,06:32:06,06:33:26,12
39,393.27,402.2600,06:33:26,06:42:25,17
40,402.83,411.3400,06:42:82,06:51:33,7
41,411.58,424.3100,06:51:57,07:04:31,7
42,424.51,442.1400,07:04:50,07:22:13,7
43,442.27,444.9900,07:22:26,07:24:99,7
44,445.25,453.3700,07:25:25,07:33:37,7
45,453.58,458.0200,07:33:57,07:38:01,7
46,458.02,468.5800,07:38:01,07:48:57,17
47,468.58,472.4200,07:48:57,07:52:41,12
48,472.42,485.4400,07:52:42,08:05:43,3
49,485.68,491.3200,08:05:68,08:11:31,3
50,491.32,496.8400,08:11:31,08:16:83,12
51,496.84,503.1500,08:16:83,08:23:14,3
52,503.17,503.7000,08:23:17,08:23:69,3
53,503.78,532.3500,08:23:77,08:52:35,3
54,533.11,535.9900,08:53:11,08:55:99,7
55,536.05,540.4800,08:56:04,09:00:47,7
56,540.6,564.3400,09:00:60,09:24:34,7
57,564.89,580.7100,09:24:88,09:40:71,7
58,580.85,590.5200,09:40:85,09:50:51,7
